Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
86;1;0;1;1;0;0;0;0;1;0;1;1;0;1;7;86;109;84;0,6856187291;5,55;0,56;;;;;;;
87;1;0;0;1;1;1;0;0;0;1;0;0;1;1;7;87;51;344;0,6698899633;5,59;0,64;;;;;;;
88;1;0;1;0;1;0;1;1;0;0;0;0;1;1;7;88;18;278;0,6303763441;6,2;0,47;;;;;;;
89;0;0;0;0;1;1;1;1;0;1;1;0;0;1;7;89;198;117;0,6385542169;5,84;0,53;;;;;;;
90;1;0;0;0;1;1;1;0;0;0;0;1;1;1;7;90;173;209;0,6983914209;5,24;0,84;;;;;;;
91;0;1;1;0;1;1;1;0;0;0;0;1;1;0;7;91;50;333;0,7327096559;5,05;0,01;;;;;;;
92;0;0;1;0;1;1;1;0;1;0;0;1;0;1;7;92;316;25;0,7071693033;5,5;0,59;;;;;;;
93;0;1;0;0;1;1;0;1;1;1;0;0;0;1;7;93;23;302;0,6377534064;5,68;0,55;;;;;;;
94;0;0;1;0;1;1;1;0;1;0;0;1;1;0;7;94;354;X;0,6966666667;5,01;0,65;;;;;;;
95;0;0;1;0;1;1;1;0;0;1;0;0;1;1;7;95;234;230;0,717889147;6,22;0,49;;;;;;;
96;1;0;0;0;0;1;1;1;1;0;1;1;0;0;7;96;261;237;0,5830553702;5,59;0,65;;;;;;;
97;0;0;0;1;1;1;0;0;0;1;1;1;0;1;7;97;26;346;0,6612421123;5,44;0,74;;;;;;;
98;1;0;0;0;1;1;1;0;0;1;1;0;1;0;7;98;294;307;0,6257935182;5,46;0,76;;;;;;;
99;1;1;0;0;0;0;1;1;1;0;0;1;0;1;7;99;167;110;0,638234318;5,89;0,26;;;;;;;
100;1;0;1;0;0;0;1;1;0;1;1;0;0;1;7;100;176;320;0,6754966887;5,74;0,75;;;;;;;
101;1;0;1;0;1;0;1;0;1;0;1;0;1;1;8;101;39;275;0,6378737542;5,44;0,60;;;;;;;
102;1;1;1;0;1;1;0;0;0;1;1;0;1;0;8;102;201;122;0,6755852843;5,47;0,49;;;;;;;
103;0;0;1;1;1;0;1;0;1;1;0;1;1;0;8;103;257;294;0,7102897103;5,9;0,82;;;;;;;
104;1;0;1;1;0;1;1;1;0;0;0;1;0;1;8;104;117;83;0,6514745308;5,94;0,47;;;;;;;
105;0;1;1;1;0;1;1;0;1;1;0;0;1;0;8;105;111;189;0,681314995;5,21;0,57;;;;;;;
106;1;0;1;1;0;0;1;1;0;1;1;1;0;0;8;106;105;131;0,6566523605;5,64;0,51;;;;;;;
107;1;1;1;1;0;0;0;1;0;0;1;1;0;1;8;107;281;42;0,6702557201;5,82;0,60;;;;;;;
108;0;1;1;0;0;0;1;1;1;1;1;0;0;1;8;108;186;225;0,6907216495;5,66;0,76;;;;;;;
109;0;0;1;0;1;1;1;0;1;1;1;0;1;0;8;109;147;169;0,6266666667;5,48;0,59;;;;;;;
110;1;1;0;0;1;0;1;0;1;1;1;1;0;0;8;110;4;252;0,5795795796;5,26;0,74;;;;;;;
111;0;0;1;1;1;1;1;1;0;1;0;0;0;1;8;111;24;328;0,7213830144;6,27;0,60;;;;;;;
112;0;1;1;1;1;1;0;0;1;0;1;0;0;1;8;112;146;167;0,6800791557;5,4;0,61;;;;;;;
113;0;1;0;1;1;0;1;1;0;1;1;0;1;0;8;113;328;152;0,6307485733;5,72;0,55;;;;;;;
114;1;1;0;1;0;0;1;1;0;0;1;1;0;1;8;114;216;258;0,6479574892;5,72;0,48;;;;;;;
115;0;0;1;0;1;1;0;1;1;1;0;1;1;0;8;115;251;35;0,637150466;5,61;0,53;;;;;;;
116;1;1;0;0;1;1;1;1;0;1;0;0;0;1;8;116;352;267;0,6529863197;6,26;0,75;;;;;;;
117;1;0;1;1;0;1;0;0;1;1;1;0;1;0;8;117;102;191;0,6836496836;5,47;0,59;;;;;;;
118;0;1;1;0;0;1;1;1;1;0;0;0;1;1;8;118;331;312;0,6283896887;NA;0,39;;;;;;;
119;0;0;1;0;1;1;1;0;0;0;1;1;1;1;8;119;190;202;0,6563229897;5,5;0,57;;;;;;;
120;0;0;0;1;1;1;0;1;0;1;1;1;0;1;8;120;148;276;0,6255798542;5,65;0,69;;;;;;;
121;0;0;0;0;1;0;1;1;1;1;1;1;0;1;8;121;255;66;0,6197846568;5,18;0,50;;;;;;;
122;0;0;1;1;1;0;0;1;1;0;1;1;0;1;8;122;302;7;0,6426185705;6,07;0,50;;;;;;;
123;1;0;0;1;0;1;0;1;1;1;1;1;0;0;8;123;9;322;0,5989304813;5,6;0,57;;;;;;;
124;1;0;1;1;0;0;1;1;0;0;1;0;1;1;8;124;305;147;0,6055684455;5,88;0,68;;;;;;;
125;1;1;1;1;0;1;1;0;0;0;1;0;0;1;8;125;210;107;0,69;5,68;0,67;;;;;;;
